Applicant_ID,Name,Age,Gender,Skills,CGPA,Experience_Years
96,Richard Duarte,24.0,FEMALE,Machine Learning,3.35,1
16,Erica Atkinson,26.0,FEMALE,Power BI,2.33,3
31,Sean Mitchell,27.0,Female,Excel,2.75,1
159,Terri Jarvis,23.0,Male,Excel,2.38,5
129,Robert Davis,22.0,female,Tableau,3.67,3
116,Jaclyn Martinez,23.0,MALE,SQL,2.28,1
70,Theresa Weaver,22.0,Male,SQL,3.48,1
171,Wendy Woods,22.0,MALE,Python,3.22,5
175,Hunter Phillips,22.0,Male,Power BI,2.58,2
46,Bobby Johnson,21.0,Male,SQL,3.32,2
67,Alexander Lambert,21.0,male,Tableau,2.32,4
183,Corey Mccarthy,24.0,FEMALE,Communication,3.21,0
166,Wendy Wagner,19.0,Male,Machine Learning,2.98,4
79,Crystal Stokes,23.0,Male,Communication,2.42,1
187,Carla Young,27.0,female,Data Analysis,3.94,3
178,Cheryl Lee,21.0,FEMALE,Excel,3.82,1
57,Jeremy Moreno,21.0,Male,Python,3.5,0
153,Jessica Wagner,26.0,Female,Data Analysis,3.29,3
83,Pamela Moran,,female,Power BI,2.53,5
69,Benjamin Dominguez,22.0,FEMALE,,3.88,1
125,  Sonia Munoz  ,27.0,MALE,Python,3.81,4
17,Nicholas Frazier,22.0,FEMALE,Power BI,3.37,0
149,John Jackson Jr.,27.0,FEMALE,Machine Learning,2.67,3
94,Michelle Shea,29.0,male,Tableau,3.33,2
66,Cynthia Smith,26.0,male,Excel,3.87,0
61,Courtney Pierce,21.0,MALE,Python,3.24,3
85,Alicia Gonzalez,21.0,female,Communication,2.61,1
68,Nicholas Leblanc,29.0,male,Python,3.34,4
126,Brittney Carlson,27.0,FEMALE,Python,2.17,3
133,Linda Johnson,,Female,Power BI,2.25,5
10,Ronald Garcia,19.0,female,SQL,3.1,5
19,Felicia Quinn,21.0,MALE,Communication,2.43,3
56,James Stewart,30.0,MALE,Data Analysis,2.31,2
76,John Kaiser,26.0,Male,SQL,2.15,5
151,Suzanne Perez,23.0,male,Tableau,3.11,4
105,Julie Ware,30.0,Male,Data Analysis,2.83,5
136,Eric Dudley,29.0,Male,Excel,3.93,0
138,Justin Mitchell,24.0,FEMALE,Power BI,2.15,5
165,Deborah Smith,23.0,Female,Python,2.5,3
77,Jessica Schaefer,20.0,MALE,Python,3.67,4
80,  Mr. Samuel Harper  ,28.0,Male,Communication,3.56,3
30,Kevin Murphy,,Male,Tableau,3.68,4
39,Caleb Vang,28.0,FEMALE,Communication,2.88,4
25,Holly Ho,27.0,Male,Machine Learning,2.76,3
123,Samuel Gray,24.0,female,Python,2.78,5
24,Bruce Patterson,20.0,FEMALE,Excel,3.58,3
30,Kevin Murphy,,Male,Tableau,3.68,4
20,Alan Moss,24.0,FEMALE,Data Analysis,2.29,1
144,Nathan Castaneda,25.0,FEMALE,Excel,2.87,5
87,Adam Lin,19.0,male,Communication,3.28,3
115,Tina Barnes,25.0,Male,Tableau,2.47,2
174,Sandra Willis,18.0,female,Data Analysis,3.38,3
6,Veronica Mendoza,22.0,Male,Excel,3.4,2
127,Tracy Farley,20.0,female,Excel,2.1,3
118,Dorothy Fuentes,24.0,female,Communication,3.09,3
74,Debra Hudson,18.0,male,,3.27,2
141,Claudia Maldonado,30.0,Male,,3.07,5
99,Steven Torres,27.0,FEMALE,Communication,2.93,3
173,Michael Jackson,20.0,Female,Excel,3.1,1
97,Danielle Carrillo,27.0,MALE,Tableau,2.81,0
170,Amanda Blanchard,25.0,female,Tableau,3.72,3
98,Rachel Sullivan,22.0,male,Power BI,2.86,4
32,  Kevin Garrett  ,26.0,MALE,Python,3.2,3
13,Karen Jackson,19.0,female,Tableau,2.91,2
36,Nicholas Rodriguez,30.0,Female,Excel,3.32,4
120,Phyllis Armstrong,29.0,Male,Machine Learning,2.95,2
43,Brittany Harrison,23.0,Male,Power BI,2.56,3
190,Dominique Bryant,28.0,female,Python,2.91,2
91,Michael Morris,19.0,female,Power BI,2.51,5
137,Katherine Mccoy,27.0,Male,Tableau,3.15,3
52,Cory Wallace,19.0,Male,Python,3.94,1
128,Gary Rodgers,23.0,Female,,2.65,3
163,Thomas Smith,26.0,male,Excel,3.28,3
42,Benjamin Taylor,19.0,FEMALE,Python,2.46,0
119,Andrew Sanchez,,Female,Machine Learning,2.78,4
114,Matthew Bradshaw,22.0,MALE,,3.25,2
27,Christopher Green,28.0,MALE,Tableau,3.54,2
140,Jared Dominguez,28.0,MALE,SQL,3.59,4
101,Kathleen Ortiz,20.0,FEMALE,SQL,2.57,5
112,Sherry Glover,26.0,female,Data Analysis,3.79,5
3,Joshua Parsons,19.0,MALE,Machine Learning,2.06,0
78,Jessica Murphy,26.0,Female,Machine Learning,2.25,2
47,Mary Allen,24.0,female,Data Analysis,3.73,0
188,Mr. Marc Carter,23.0,female,Communication,2.64,0
192,Edward Jefferson,5.0,female,SQL,-1.5,-2
86,Sarah Middleton,21.0,Male,Power BI,2.8,2
162,  Lisa Williams  ,29.0,MALE,Excel,2.55,0
37,Samantha Walker,20.0,male,Machine Learning,3.93,4
191,Leonard Washington,75.0,MALE,Python,9.8,30
62,  Tyler Chen  ,28.0,MALE,Communication,3.87,1
23,Cynthia Stevens,26.0,female,SQL,3.51,0
142,Kiara Perez,23.0,Male,Communication,2.03,3
102,Karen Carroll,28.0,MALE,Communication,2.19,1
34,Alexander Ward,21.0,Male,,3.76,0
12,Edward Williams,28.0,Female,Tableau,3.97,1
105,Julie Ware,30.0,Male,Data Analysis,2.83,5
160,Thomas Paul,,male,Tableau,3.96,1
7,Mary Cox,22.0,Female,Power BI,3.91,2
28,Patricia Tanner,19.0,male,Machine Learning,2.32,0
121,Taylor Santiago,22.0,female,Machine Learning,3.08,5
5,Jacob Villarreal,28.0,FEMALE,Machine Learning,2.44,4
33,Cameron Brooks,18.0,Male,Communication,3.76,2
143,Tanya Mann,25.0,Male,Machine Learning,3.92,5
146,Alice Hernandez,30.0,female,Data Analysis,2.87,5
110,Jessica Smith DDS,25.0,Female,Data Analysis,3.34,4
145,Victoria Oliver,26.0,FEMALE,Tableau,3.23,4
11,Dillon Ward,27.0,male,Power BI,3.41,0
63,Matthew White,28.0,FEMALE,Communication,2.48,3
113,Isaac Brown,25.0,female,,3.5,5
147,Ronald Rodriguez,27.0,male,Communication,3.7,0
167,Travis Stewart,28.0,FEMALE,Python,2.3,4
1,Steven Scott,,Male,Python,3.48,1
119,Andrew Sanchez,,Female,Machine Learning,2.78,4
154,Brandon Potter,25.0,Male,SQL,2.59,3
71,Heather Jensen,22.0,male,Power BI,3.44,1
124,Amy Martinez,28.0,female,Excel,3.68,1
65,Amber Fisher,,female,SQL,2.15,1
45,Tiffany Howe,27.0,female,Power BI,3.57,3
164,Vincent Gonzalez,19.0,Male,Tableau,2.94,3
29,Rebecca Sullivan,29.0,FEMALE,Tableau,3.94,1
41,  Stephen Newton  ,18.0,MALE,Power BI,3.18,0
109,Becky Gonzalez,26.0,female,Python,3.11,0
156,  Patricia Jones  ,25.0,MALE,Communication,2.85,5
157,Christopher Avila,26.0,male,Communication,3.41,2
26,Amber Mercer,26.0,male,Python,3.36,0
24,Bruce Patterson,20.0,FEMALE,Excel,3.58,3
185,Sabrina Obrien,22.0,MALE,Python,3.53,1
148,Colleen Lee,22.0,female,Power BI,3.5,4
82,Paul Wade,20.0,Female,Machine Learning,2.05,5
40,Joseph Wilson,25.0,Male,Power BI,2.45,2
169,Mr. David Lynn,,MALE,Power BI,3.55,3
48,Jacob Sullivan,28.0,FEMALE,SQL,2.12,5
95,Bruce Ferguson,24.0,FEMALE,Tableau,3.11,1
155,Susan Adams,29.0,Female,Tableau,3.33,2
44,Michael Cowan,21.0,MALE,Excel,3.45,4
139,Lindsay Cunningham,,Female,SQL,3.39,2
4,Jacqueline Soto,21.0,Female,Python,3.12,5
106,Rachel Howe,,Female,Machine Learning,2.99,1
54,Lisa Ramirez,18.0,Female,Machine Learning,2.0,3
134,Meghan Jones,19.0,MALE,Power BI,2.93,2
181,Erika Mitchell,29.0,male,Machine Learning,3.89,4
179,  Louis Carter  ,19.0,Male,Excel,3.59,4
186,Donald Booth,25.0,MALE,Data Analysis,3.83,1
50,Peggy Peterson,25.0,Female,Machine Learning,2.37,3
81,Jordan Freeman,27.0,FEMALE,Excel,3.85,1
35,Thomas Hess,19.0,FEMALE,Data Analysis,3.63,4
8,  Ashley Smith  ,19.0,Male,Machine Learning,2.19,2
111,Leslie Hernandez,27.0,male,Data Analysis,3.23,5
92,Tanner Mckinney,24.0,Male,Power BI,2.73,0
84,Randall Munoz,19.0,female,Python,3.72,1
177,Danielle Reid,30.0,FEMALE,Power BI,2.85,4
182,  Elizabeth Meza  ,26.0,female,Data Analysis,2.16,0
90,Jonathan Robinson,24.0,male,Communication,2.87,4
9,Austin Davis,27.0,male,Python,3.46,4
14,Casey Dean,,male,,2.42,2
60,Elizabeth Ferguson,27.0,Male,Power BI,2.81,4
172,Joseph Johnson,19.0,Female,Power BI,2.53,0
132,Julie Gentry,,Male,Power BI,2.4,0
18,Samantha Jones,21.0,Male,Communication,2.8,0
73,Teresa Escobar,18.0,Male,Machine Learning,3.66,0
176,David Davis,29.0,female,SQL,3.37,2
135,Kristi Ballard,30.0,male,Excel,3.21,5
168,Tara Thompson,22.0,Male,Power BI,2.24,3
184,Katherine Jimenez,19.0,Female,Python,4.0,5
64,Brian Wolf,20.0,FEMALE,Tableau,2.91,0
55,Travis Drake,22.0,female,Tableau,2.85,5
108,Christopher Leon,30.0,female,Power BI,2.35,5
51,Anthony Alexander,21.0,Male,Data Analysis,3.62,4
58,Lisa Trujillo,18.0,MALE,Data Analysis,3.01,4
59,Robert Anderson,20.0,Male,SQL,3.7,0
49,Brooke Garza,,Male,Power BI,2.38,4
89,Gina Taylor,22.0,Female,Tableau,2.08,4
22,John Martin,27.0,female,Communication,2.44,1
58,Lisa Trujillo,18.0,MALE,Data Analysis,3.01,4
161,Michael Smith,22.0,Female,,2.36,0
142,Kiara Perez,23.0,Male,Communication,2.03,3
130,Nicole Rogers,18.0,FEMALE,Python,4.0,2
38,Sherri Andrade,30.0,FEMALE,Power BI,3.43,3
158,Heather Bowman,22.0,male,Power BI,2.24,1
4,Jacqueline Soto,21.0,Female,Python,3.12,5
2,Christopher Schwartz,21.0,Female,SQL,3.35,4
53,Ashley Lawrence,20.0,female,,2.96,3
150,Angela Potter,23.0,Female,Data Analysis,2.42,2
131,Michael Mcintyre,21.0,FEMALE,SQL,3.56,5
152,Jeffrey Olsen,21.0,Male,Power BI,3.44,3
104,Crystal Cook,,Male,Power BI,3.97,4
100,Jennifer Haney,28.0,Female,Data Analysis,3.59,5
117,Allison Morris,24.0,FEMALE,Excel,3.41,0
88,Kimberly Salinas,28.0,MALE,Communication,3.88,0
75,Linda Flores,20.0,FEMALE,Data Analysis,3.1,3
122,Kimberly Sanchez MD,26.0,MALE,Power BI,2.98,2
31,Sean Mitchell,27.0,Female,Excel,2.75,1
21,Sabrina Cervantes,21.0,FEMALE,Tableau,3.49,3
189,Timothy Mercado,20.0,male,Machine Learning,3.39,2
72,Jorge Gutierrez,28.0,FEMALE,Tableau,3.01,2
107,Janice Love,20.0,FEMALE,Python,3.79,0
15,Diane Taylor,29.0,FEMALE,SQL,3.22,1
93,Sarah Scott,,male,Communication,3.33,0
180,Ricardo Vaughn,29.0,MALE,Tableau,2.88,3
103,John Martin,28.0,male,Power BI,3.61,1
